LGD14CD,LGD14NM,LSOA01CD,LSOA01NM,IMD17,FID
N09000001,Antrim and Newtownabbey,95AA01S1,Aldergrove_1,516,1
N09000011,Ards and North Down,95BB14S1,Killinchy_1,564,2
N09000008,Mid and East Antrim,95DD04W1,Ballee,85,3
N09000002,"Armagh City, Banbridge and Craigavon",95FF08W1,Fort,503,4
N09000003,Belfast,95GG14S1,Cavehill_1,819,5
N09000001,Antrim and Newtownabbey,95AA01S2,Aldergrove_2,749,6
N09000002,"Armagh City, Banbridge and Craigavon",95FF09W1,Gilford,347,7
N09000007,Lisburn and Castlereagh,95II13W1,Graham's Bridge,410,8
N09000003,Belfast,95GG14S2,Cavehill_2,736,9
N09000001,Antrim and Newtownabbey,95AA01S3,Aldergrove_3,658,10
N09000011,Ards and North Down,95BB14S2,Killinchy_2,719,11
N09000008,Mid and East Antrim,95DD05W1,Ballykeel,110,12
N09000003,Belfast,95GG14S3,Cavehill_3,848,13
N09000003,Belfast,95II14W1,Hillfoot,884,14
N09000002,"Armagh City, Banbridge and Craigavon",95FF10W1,Gransha,520,15
N09000011,Ards and North Down,95BB15S1,Kircubbin_1,448,16
N09000001,Antrim and Newtownabbey,95AA02W1,Balloo,439,17
N09000007,Lisburn and Castlereagh,95II15S1,Knockbracken_1,870,18
N09000003,Belfast,95GG15S1,Cherryvalley_1,873,19
N09000008,Mid and East Antrim,95DD06W1,Ballyloughan,874,20
N09000002,"Armagh City, Banbridge and Craigavon",95FF11W1,Katesbridge,449,21
N09000011,Ards and North Down,95BB15S2,Kircubbin_2,263,22
N09000001,Antrim and Newtownabbey,95AA03W1,Ballycraigy,259,23
N09000003,Belfast,95GG15S2,Cherryvalley_2,885,24
N09000007,Lisburn and Castlereagh,95II15S2,Knockbracken_2,867,25
N09000008,Mid and East Antrim,95DD07S1,Broughshane_1,691,26
N09000002,"Armagh City, Banbridge and Craigavon",95FF12W1,Lawrencetown,496,27
N09000003,Belfast,95GG15S3,Cherryvalley_3,640,28
N09000011,Ards and North Down,95BB16S1,Lisbane_1,770,29
N09000001,Antrim and Newtownabbey,95AA04W1,Clady,594,30
N09000003,Belfast,95II16W1,Lisnasharragh,615,31
N09000008,Mid and East Antrim,95DD07S2,Broughshane_2,717,32
N09000003,Belfast,95GG16S1,Chichester Park_1,122,33
N09000002,"Armagh City, Banbridge and Craigavon",95FF13W1,Loughbrickland,485,34
N09000011,Ards and North Down,95BB16S2,Lisbane_2,698,35
N09000001,Antrim and Newtownabbey,95AA05W1,Cranfield,613,36
N09000003,Belfast,95II17W1,Lower Braniel,641,37
N09000008,Mid and East Antrim,95DD08W1,Castle Demesne,183,38
N09000002,"Armagh City, Banbridge and Craigavon",95FF14W1,Quilly,639,39
N09000003,Belfast,95GG16S2,Chichester Park_2,377,40
N09000011,Ards and North Down,95BB17S1,Loughries_1,501,41
N09000001,Antrim and Newtownabbey,95AA06S1,Crumlin_1,574,42
N09000002,"Armagh City, Banbridge and Craigavon",95FF15W1,Rathfriland,328,43
N09000003,Belfast,95II18W1,Minnowburn,293,44
N09000008,Mid and East Antrim,95DD09W1,Craigywarren,590,45
N09000003,Belfast,95GG16S3,Chichester Park_3,559,46
N09000011,Ards and North Down,95BB17S2,Loughries_2,524,47
N09000001,Antrim and Newtownabbey,95AA06S2,Crumlin_2,565,48
N09000007,Lisburn and Castlereagh,95II19S1,Moneyreagh_1,821,49
N09000002,"Armagh City, Banbridge and Craigavon",95FF16W1,Seapatrick,672,50
N09000008,Mid and East Antrim,95DD10W1,Cullybackey,538,51
N09000003,Belfast,95GG17S1,Cliftonville_1,98,52
N09000007,Lisburn and Castlereagh,95II19S2,Moneyreagh_2,740,53
N09000011,Ards and North Down,95BB18S1,Millisle_1,306,54
N09000001,Antrim and Newtownabbey,95AA07W1,Drumanaway,569,55
N09000002,"Armagh City, Banbridge and Craigavon",95FF17W1,The Cut,120,56
N09000008,Mid and East Antrim,95DD11W1,Dunclug,154,57
N09000007,Lisburn and Castlereagh,95II20W1,Newtownbreda,815,58
N09000003,Belfast,95GG17S2,Cliftonville_2,515,59
N09000011,Ards and North Down,95BB18S2,Millisle_2,635,60
N09000001,Antrim and Newtownabbey,95AA08W1,Farranshane,178,61
N09000003,Belfast,95GG01S1,Andersonstown_1,388,62
N09000008,Mid and East Antrim,95DD12W1,Dunminning,591,63
N09000003,Belfast,95GG17S3,Cliftonville_3,150,64
N09000003,Belfast,95II21W1,Tullycarnet,248,65
N09000011,Ards and North Down,95BB19S1,Movilla_1,528,66
N09000001,Antrim and Newtownabbey,95AA09W1,Fountain Hill,330,67
N09000003,Belfast,95GG18S1,Clonard_1,50,68
N09000011,Ards and North Down,95BB19S2,Movilla_2,765,69
N09000003,Belfast,95GG01S2,Andersonstown_2,198,70
N09000003,Belfast,95II22W1,Upper Braniel,614,71
N09000008,Mid and East Antrim,95DD13W1,Fair Green,222,72
N09000003,Belfast,95II23W1,Wynchurch,836,73
N09000003,Belfast,95GG01S3,Andersonstown_3,320,74
N09000001,Antrim and Newtownabbey,95AA10W1,Greystone,285,75
N09000008,Mid and East Antrim,95DD14S1,Galgorm_1,794,76
N09000003,Belfast,95GG18S2,Clonard_2,55,77
N09000011,Ards and North Down,95BB19S3,Movilla_3,850,78
N09000004,Causeway Coast and Glens,95JJ01W1,Agivey,550,79
N09000003,Belfast,95GG02S1,Ardoyne_1,16,80
N09000001,Antrim and Newtownabbey,95AA11S1,Massereene_1,670,81
N09000008,Mid and East Antrim,95DD14S2,Galgorm_2,869,82
N09000003,Belfast,95GG19S1,Crumlin_1,24,83
N09000011,Ards and North Down,95BB20S1,Portaferry_1,402,84
N09000004,Causeway Coast and Glens,95JJ02W1,Atlantic,213,85
N09000003,Belfast,95GG02S2,Ardoyne_2,4,86
N09000001,Antrim and Newtownabbey,95AA11S2,Massereene_2,801,87
N09000008,Mid and East Antrim,95DD15W1,Glenravel,679,88
N09000003,Belfast,95GG19S2,Crumlin_2,21,89
N09000011,Ards and North Down,95BB20S2,Portaferry_2,219,90
N09000004,Causeway Coast and Glens,95JJ03S1,Ballysally_1,31,91
N09000003,Belfast,95GG02S3,Ardoyne_3,9,92
N09000001,Antrim and Newtownabbey,95AA12W1,Parkgate,706,93
N09000008,Mid and East Antrim,95DD16W1,Glenwhirry,642,94
N09000003,Belfast,95GG20S1,Duncairn_1,49,95
N09000011,Ards and North Down,95BB21S1,Portavogie_1,225,96
N09000004,Causeway Coast and Glens,95JJ03S2,Ballysally_2,160,97
N09000003,Belfast,95GG03S1,Ballyhackamore_1,811,98
N09000003,Belfast,95GG03S2,Ballyhackamore_2,823,99
N09000003,Belfast,95GG03S3,Ballyhackamore_3,601,100
N09000003,Belfast,95GG04S1,Ballymacarrett_1,95,101
N09000003,Belfast,95GG04S2,Ballymacarrett_2,78,102
N09000003,Belfast,95GG04S3,Ballymacarrett_3,40,103
N09000003,Belfast,95GG05S1,Ballynafeigh_1,579,104
N09000003,Belfast,95GG05S2,Ballynafeigh_2,652,105
N09000003,Belfast,95GG05S3,Ballynafeigh_3,270,106
N09000003,Belfast,95GG06S1,Ballysillan_1,109,107
N09000003,Belfast,95GG06S2,Ballysillan_2,268,108
N09000003,Belfast,95GG06S3,Ballysillan_3,433,109
N09000003,Belfast,95GG07S1,Beechmount_1,121,110
N09000003,Belfast,95GG07S2,Beechmount_2,66,111
N09000003,Belfast,95GG07S3,Beechmount_3,181,112
N09000003,Belfast,95GG08S1,Bellevue_1,570,113
N09000003,Belfast,95GG08S2,Bellevue_2,123,114
N09000003,Belfast,95GG08S3,Bellevue_3,315,115
N09000003,Belfast,95GG09S1,Belmont_1,890,116
N09000003,Belfast,95GG09S2,Belmont_2,747,117
N09000003,Belfast,95GG09S3,Belmont_3,401,118
N09000003,Belfast,95GG10S1,Blackstaff_1,58,119
N09000003,Belfast,95GG10S2,Blackstaff_2,102,120
N09000003,Belfast,95GG11S1,Bloomfield_1,139,121
N09000003,Belfast,95GG11S2,Bloomfield_2,656,122
N09000003,Belfast,95GG11S3,Bloomfield_3,215,123
N09000003,Belfast,95GG12S1,Botanic_1,580,124
N09000003,Belfast,95GG12S2,Botanic_2,457,125
N09000003,Belfast,95GG12S3,Botanic_3,481,126
N09000003,Belfast,95GG12S4,Botanic_4,189,127
N09000003,Belfast,95GG12S5,Botanic_5,79,128
N09000003,Belfast,95GG13S1,Castleview_1,119,129
N09000003,Belfast,95GG13S2,Castleview_2,711,130
N09000003,Belfast,95GG13S3,Castleview_3,463,131
N09000003,Belfast,95GG20S2,Duncairn_2,53,132
N09000003,Belfast,95GG21S1,Falls_1,41,133
